Company_Name,Dependent-Company Status,year of founding,Age of company in years,Short Description of company profile,Industry of company,Focus functions of company,Investors,Employee Count,Employees count MoM change,Has the team size grown,Est. Founding Date,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Team size all employees,Presence of a top angel or venture fund in previous round of investment,Number of of repeat investors,Number of  Sales Support material,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,"Capital intensive business e.g. e-commerce, Engineering products and operations can also cause a business to be capital intensive",Number of  of Partners of company,Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics/ marketing channels,Owns data or not? (monetization of data) e.g. Factual,Is the company an aggregator/market place? e.g. Bluekai,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Top forums like 'Tech crunch' or 'Venture beat' talking about the company/model - How much is it being talked about?,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Years of education,Specialization of highest education,Relevance of education to venture,Relevance of experience to venture,Degree from a Tier 1 or Tier 2 university?,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Top management similarity,Number of Recognitions for Founders and Co-founders,Number of  of Research publications,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Employee benefits and salary structures,Long term relationship with other founders,Proprietary or patent position (competitive position),Barriers of entry for the competitors,Company awards,Controversial history of founder or co founder,Technical proficiencies to analyse and interpret unstructured data,Invested through global incubation competitions?,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),"Survival through recession, based on existence of the company through recession times",Time to 1st investment (in months),"Avg time to investment - average across all rounds, measured from previous investment",Time to maturity of technology (in years),Percent_skill_Entrepreneurship,Percent_skill_Operations,Percent_skill_Engineering,Percent_skill_Marketing,Percent_skill_Leadership,Percent_skill_Data Science,Percent_skill_Business Strategy,Percent_skill_Product Management,Percent_skill_Sales,Percent_skill_Domain,Percent_skill_Law,Percent_skill_Consulting,Percent_skill_Finance,Percent_skill_Investment,Renown score
Company186,Success,2010,4,Opinion's Movement,Marketing,Marketing & Sales,Lorenzo Barbantini Scanni|Armando Biondi|ChileGlobal Angels|Cesare Guarini|Leandro Puca|Attilio Meoli|Maurizio Donadelli|Roberto Cipollini|Cristiano Carlutti|Filippo Meo,,,Yes,1/29/10,8/1/12,535000,United States,North America,11,0,3,9,9,50,No,0,medium,No,Small,Yes,Yes,No,No,Product,Yes,Private,Yes,Unstructured,Yes,Platform,local,Non-Linear,No,None,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Online,B2C,Low,High,Yes,Low,Masters,21,PILOT,No,Yes,None,500,Low,0,1,1,None,173,Many,21,Medium,Medium,No,No,Medium,Bad,No,Yes,Yes,No,No,No,No,2,Medium,3,16.6,0.535,Not Applicable,28,12,2 to 5,9.607843137,0,3.333333333,21.76470588,0,3.333333333,25.09803922,6.274509804,8.823529412,18.43137255,0,0,0,3.333333333,8
Company187,Success,2012,2,,Analytics|Energy,Operations,,4,,No,,,0,United States,North America,3,0,0,1,4,10,No,0,medium,No,Small,No,No,No,No,Service,Yes,Public,No,Structured,No,Cloud,Local,Linear,No,None,No,No,No,Yes,No,Yes,No,No,No,No,Online,B2C,Low,Medium,Yes,Low,Bachelors,18,LIT,No,No,Both,500,High,0,1,1,Medium,222,None,18,Medium,Medium,No,No,Medium,Bad,No,Yes,Yes,No,No,No,Yes,5,Medium,2,3.3,0.6,Not Applicable,12,6,2 to 5,0,30,10,0,0,0,20,0,10,30,0,0,0,0,4
Company189,Success,2011,3,Big Public Data,,Operations,TriplePoint Capital|Crosslink Capital|Matthew Glass|Strauss Zelnick|Brent Hurley|Comcast Ventures|American Express Ventures|New York Times|Expansion Venture Capital,15,0,Yes,1/1/11,1/30/14,4500000,United States,North America,5,0,2,1,4,16,No,0,low,No,Medium,Yes,No,No,No,Product,Yes,Public,Yes,Structured,Yes,Cloud,Local,Linear,No,None,No,No,No,Yes,No,Yes,Yes,No,No,No,Online,B2B,Low,Medium,Yes,Low,Masters,21,business,Yes,Yes,Tier_1,500,Low,0,0,0,None,0,None,5,Medium,Medium,No,No,Medium,Very Good,Yes,No,No,No,No,Yes,No,4,High,5,8,4.5,Not Applicable,16,8,0 to 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Company190,Success,2011,3,Big Data Predictive Insight,Analytics,technology,Sierra Ventures|Mission Ventures|Sumitomo Corporation Equity Asia|Stanford University|UMC Capital|Robert Bosch Venture Capital,41,17,Yes,1/1/11,11/22/13,16000000,United States,North America,0,0,2,2,5,50,Yes,2,medium,Yes,Medium,Yes,Yes,No,No,Product,Yes,Private,Yes,Structured,Yes,Cloud,global,Non-Linear,No,None,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Medium,High,Yes,Medium,Bachelors,18,electrical engg,No,Yes,Tier_2,500,Medium,0,1,0,None,2,None,37,Medium,High,Yes,No,Medium,Very Good,Yes,Yes,No,Yes,No,Yes,No,3,High,5,25,16,Not Applicable,12,8,0 to 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Company191,Success,2007,7,Content automation services,,Marketing & Sales,Court Square Ventures|OCA Ventures|IDEA Fund Partners|BoxGroup|Valhalla Partners|David Tisch,17,-6,yes,6/1/07,9/1/11,4000000,United States,North America,3,0,1,4,6,15,Yes,1,medium,Yes,Large,Yes,Yes,No,No,Product,Yes,Private,Yes,Structured,Yes,Platform,global,Non-Linear,No,None,No,No,No,No,No,Yes,No,No,No,No,Online,B2B,High,High,Yes,Low,Masters,21,TECH,Yes,Yes,Tier_1,500,High,0,1,1,Medium,173,None,8,Low,Medium,No,No,Low,Very Good,Yes,Yes,No,No,No,Yes,No,3,High,2,2.5,4,Yes,10,8,0 to 2,33.33333333,0,0,0,0,0,33.33333333,16.66666667,16.66666667,0,0,0,0,0,2
Company192,Success,2011,3,Marketing analytics software,Advertising|Marketing|Analytics,Marketing & Sales,Investment Group of Santa Barbara|Aaron Bird|TechStars|Madrona Venture Group|MHS Capital|Rob Glaser,15,15,yes,2/1/11,11/26/12,1700000,United States,North America,3,0,2,0,2,15,Yes,1,high,No,Medium,No,No,No,No,Product,Yes,Private,Yes,Structured,Yes,Platform,global,Non-Linear,No,None,No,No,No,No,No,Yes,No,Yes,No,No,Online,B2B,Medium,High,Yes,Low,Masters,21,MGMT,No,Yes,None,500,High,1,0,0,Medium,272,Many,24,Medium,Medium,No,Yes,Low,Average,No,Yes,No,No,No,Yes,No,3,Low,5,7.5,1.7,Not Applicable,8,6,2 to 5,11.11111111,0,22.22222222,27.77777778,5.555555556,11.11111111,11.11111111,5.555555556,0,5.555555556,0,0,0,0,9
Company193,Success,2012,2,,,technology,Data Collective|Ignition Partners|Intel Capital|Amplify Partners|Atlantic Bridge,1,0,yes,1/1/12,9/24/13,15000000,United States,North America,0,0,2,8,2,15,Yes,1,medium,No,Medium,Yes,Yes,No,No,Service,Yes,Private,Yes,Structured,Yes,Cloud,global,Non-Linear,Yes,None,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Low,Masters,21,TECH,No,No,Tier_1,500,Medium,0,0,0,Medium,74,Many,12,Medium,High,No,No,High,Average,No,Yes,Yes,No,No,No,No,3,Medium,7,15,15,Not Applicable,10,9,2 to 5,0,5.882352941,70.58823529,2.941176471,0,0,17.64705882,2.941176471,0,0,0,0,0,0,7
Company194,Success,2011,3,Self-driven big data exploration,Enterprise Software,strategy,Kleiner Perkins Caufield & Byers|Andreessen Horowitz|Google Ventures|Khosla Ventures|DAG Ventures,30,3,yes,1/1/11,3/31/14,21000000,United States,North America,0,3,2,6,4,30,Yes,3,medium,No,Medium,Yes,Yes,No,No,Product,Yes,Private,Yes,Structured,Yes,Platform,global,Non-Linear,No,None,No,No,No,No,No,Yes,Yes,No,No,No,Online,B2B,Low,High,Yes,Low,Masters,21,TECH,Yes,Yes,Tier_2,500,Medium,0,0,0,Medium,145,Many,18,Low,Medium,No,No,Low,Bad,Yes,No,Yes,No,No,Yes,No,1,Low,2,15,21,Not Applicable,13,12,,0,0,77.77777778,0,0,16.66666667,5.555555556,0,0,0,0,0,0,0,3
Company195,Success,2013,1,,Retail|Analytics,customer engagement,Austin Ventures|FLOODGATE|Contour Venture Partners|Allegro Venture Partners|Mack Capital|Brett Hurt|Sam Decker|Adam Ross|Tom Meredith|Dean Drako|Floodgate Fund,41,5,yes,1/1/13,5/21/13,4200000,United States,North America,0,0,2,6,6,43,No,0,medium,No,Medium,Yes,No,No,No,Service,No,Private,Yes,Structured,Yes,Platform,global,Non-Linear,No,None,No,No,No,Yes,No,No,No,No,No,No,Online,B2B,Low,Medium,Yes,Low,Bachelors,18,TECH,Yes,Yes,None,500,High,0,1,1,Medium,201,Many,17,Low,Low,No,No,Medium,Bad,Yes,No,Yes,No,No,No,Yes,4,Low,2,43,4.2,Not Applicable,5,6,0 to 2,9.490740741,5.787037037,30.32407407,11.34259259,1.851851852,17.12962963,9.259259259,3.703703704,3.703703704,5.555555556,0,0,1.851851852,0,1
Company196,Success,2012,2,,Analytics,operations,Madrona Venture Group|Vulcan Capital|Geoff Entress|Bloomberg Beta,19,12,yes,3/1/12,7/16/13,7000000,United States,North America,1,0,1,11,6,28,No,2,low,No,Large,No,No,No,No,Product,Yes,Private,Yes,Structured,Yes,Platform,global,Non-Linear,No,None,No,No,No,Yes,No,No,No,No,No,No,Online,B2B,Medium,High,Yes,Medium,PhD,25,TECH,Yes,Yes,None,500,High,0,1,1,Medium,119,None,18,Low,High,No,No,Low,Bad,Yes,No,No,No,No,Yes,No,2,High,1,28,7,Not Applicable,8,7,2 to 5,11.11111111,5.555555556,16.66666667,11.11111111,0,50,0,0,0,5.555555556,0,0,0,0,0
Company197,Success,2011,3,,Analytics|Enterprise Software|Cloud Computing|Software Development,technology,Battery Ventures|Andreessen Horowitz|Ignition Partners|Data Collective|Amplify Partners,27,4,yes,11/1/11,11/14/12,10000000,United States,North America,0,3,2,2,3,20,Yes,3,low,No,Medium,Yes,No,No,No,Product,Yes,Private,No,Structured,Yes,Cloud,global,Non-Linear,No,None,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Medium,Bachelors,18,TECH,Yes,Yes,Both,500,High,0,1,1,Medium,175,None,17,Low,Low,Yes,No,High,Average,Yes,No,Yes,Yes,No,No,No,2,Medium,3,10,10,Not Applicable,13,8,0 to 2,6.944444444,0,62.5,8.333333333,0,8.333333333,5.555555556,8.333333333,0,0,0,0,0,0,8
Company198,Success,2012,2,The Marketing Suite for the Visual Web,Marketing|Analytics,Marketing & Sales,New Enterprise Associates|First Round Capital|MentorTech Ventures,30,7,yes,1/1/12,1/15/13,3000000,United States,North America,3,0,2,2,2,22,Yes,3,high,Yes,Medium,No,No,No,No,Service,Yes,Private,Yes,Unstructured,Yes,Platform,global,Non-Linear,No,Few,No,No,Yes,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Medium,Bachelors,18,TECH,Yes,Yes,Both,500,High,1,1,0,Medium,67,Many,5,Low,Low,No,No,Low,Very Good,Yes,Yes,No,No,No,No,No,4,Medium,4,22,3,Not Applicable,5,12,2 to 5,25,0,0,25,0,0,25,0,0,0,0,0,0,25,1
Company199,Success,2011,3,,Analytics,technology,Foundry Group|Neu Venture Capital|David Cohen|Tasso Argyros|Mayank Bawa|Dave Kellogg|Mike Greenfield,8,0,No,10/1/11,12/10/13,3150000,United States,North America,7,0,2,1,2,8,No,1,high,Yes,Medium,No,No,No,No,Service,Yes,Private,Yes,Structured,Yes,Cloud,global,Non-Linear,No,None,No,No,No,No,No,Yes,Yes,No,No,No,Online,B2B,Low,High,Yes,Medium,Bachelors,18,TECH,Yes,Yes,None,500,Medium,1,1,1,Medium,90,Many,12,Medium,High,Yes,No,Medium,Bad,Yes,No,No,No,No,Yes,No,2,Medium,3,4,3.15,Not Applicable,20,18,0 to 2,0,0,83.33333333,0,0,0,0,16.66666667,0,0,0,0,0,0,5
Company200,Success,2009,5,Big Data Analytics,Analytics,technology,Redpoint Ventures|Kleiner Perkins Caufield & Byers|Next World Capital|Software AG|Workday|Citi Ventures,89,0,yes,9/1/09,12/17/13,19000000,United States,North America,0,0,2,0,6,80,Yes,3,high,Yes,Medium,No,No,No,No,Product,Yes,Private,No,Structured,Yes,Cloud,global,Non-Linear,No,None,No,No,No,No,No,Yes,Yes,No,No,No,Online,B2B,High,High,Yes,Low,Masters,21,TECH,Yes,Yes,None,500,High,0,0,0,Medium,260,Many,14,Low,Low,No,No,Low,Very Good,No,No,No,No,No,Yes,No,3,Low,3,20,19,Not Applicable,12,12,,5.555555556,5.555555556,66.66666667,0,0,16.66666667,5.555555556,0,0,0,0,0,0,0,2
Company201,Success,2010,4,big data platform powered by Cassandra,,Operations,Lightspeed Venture Partners|Sequoia Capital|Jason Calacanis|Crosslink Capital|Salil Deshpande|Meritech Capital Partners|Scale Venture Partners|Next World Capital|DFJ Growth,209,11,yes,3/31/10,7/23/13,45000000,United States,North America,1,0,2,1,10,226,No,6,high,Yes,Medium,Yes,Yes,No,No,Product,Yes,Private,Yes,Structured,Yes,Platform,Global,Non-Linear,No,Few,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Online,B2B,Medium,High,Yes,Low,Bachelors,18,MGT,Yes,Yes,Both,500,Low,1,0,0,Medium,154,Many,18,Medium,High,No,No,Medium,Average,No,Yes,Yes,No,No,Yes,No,4,High,2,75.3,45,Not Applicable,5,14,,0,0,41.66666667,0,0,0,8.333333333,0,0,0,0,0,0,0,4
Company202,Success,2012,2,Stream Processing,Analytics|Enterprise Software,operations,August Capital|Morado Venture Partners|AME Cloud Ventures,18,13,No,1/1/12,6/26/13,8000000,United States,North America,2,0,2,0,2,22,Yes,0,medium,No,Small,No,No,No,No,Product,Yes,Private,Yes,Both,Yes,Cloud,Global,Non-Linear,Yes,None,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Online,B2B,Low,Medium,Yes,Medium,Bachelors,18,MGMT,Yes,Yes,None,324,High,1,1,1,Medium,200,None,18,Low,High,No,No,Low,Average,No,No,Yes,No,No,No,No,4,Medium,5,22,8,Not Applicable,15,11,2 to 5,2.777777778,0,62.82051282,0,8.333333333,6.623931624,16.66666667,2.777777778,0,0,0,0,0,0,5
Company203,Success,2011,3,Customer Experience Management Platform,,Sales,XSeed Capital,44,5,Yes,9/15/11,9/26/13,2550000,United States,North America,0,0,2,6,6,45,No,0,low,No,Medium,No,No,No,No,Product,Yes,Private,Yes,Unstructured,Yes,Cloud,Local,Non-Linear,No,Few,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Online,B2B,Low,High,Yes,Low,Bachelors,18,MGMT,Yes,Yes,Tier_2,500,High,1,1,1,None,1,None,14,Medium,High,Yes,No,High,Average,No,No,Yes,No,No,No,Yes,3,Low,2,22.5,2.55,Not Applicable,19,6,2 to 5,2.941176471,0,44.11764706,0,0,0,0,2.941176471,0,0,0,0,0,0,1
Company204,Success,2010,4,Doubleclick for Market Research,Advertising|Market Research,Marketing & Sales,Sopris Partners|Voodoo Ventures,48,2,Yes,3/10/10,11/8/11,2800000,United States,North America,0,0,0,0,5,49,No,0,medium,No,Medium,Yes,Yes,No,Yes,Product,Yes,Private,Yes,Structured,Yes,Cloud,Local,Linear,No,None,No,No,No,Yes,No,Yes,No,No,No,No,Online,B2B,Low,High,Yes,Medium,Masters,21,business,Yes,Yes,Tier_1,500,High,0,0,0,None,270,None,14,Medium,High,Yes,No,Low,Very Good,No,No,Yes,No,No,No,No,2,Low,1,16.3,2.8,Not Applicable,1,1,2 to 5,16.66666667,5.555555556,0,38.88888889,5.555555556,16.66666667,11.11111111,0,5.555555556,0,0,0,0,0,0
Company205,Success,2009,5,,Software Development,technology,,50,4,Yes,1/1/09,8/27/12,0,United States,North America,0,0,2,3,5,50,Yes,0,high,Yes,Medium,No,No,No,No,Service,Yes,Private,Yes,Structured,Yes,Cloud,global,Linear,No,Few,No,No,No,No,No,No,Yes,Yes,No,No,Online,B2B,Low,High,Yes,Low,PhD,25,electrical,Yes,Yes,Tier_2,500,High,0,1,0,Medium,514,Many,22,Low,High,Yes,No,Medium,Average,No,No,Yes,No,No,Yes,Yes,2,Medium,4,12.5,No Info,Not Applicable,30,No Info,2 to 5,1.851851852,0,33.33333333,1.851851852,3.703703704,1.851851852,16.66666667,3.703703704,1.851851852,1.851851852,0,0,0,0,6
Company206,Success,2009,5,Data Collection for Web Scale IT,Enterprise Software|Software Development,technology,Javelin Venture Partners|FirstMark Capital|First Round Capital|Safeguard Scientifics,27,8,yes,4/1/09,12/6/12,8700000,United States,North America,2,0,2,3,4,24,Yes,2,high,Yes,Medium,Yes,Yes,No,No,Product,Yes,Private,Yes,Structured,Yes,Platform,global,Non-Linear,No,None,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Medium,High,Yes,Medium,Bachelors,18,COMMUNICTIONS,Yes,Yes,Tier_2,500,High,0,1,1,None,400,Many,18,Low,Medium,No,No,Low,Average,No,No,No,Yes,No,No,No,2,Medium,6,6,8.7,Not Applicable,9,12,,5.555555556,2.777777778,58.33333333,0,5.555555556,0,16.66666667,2.777777778,2.777777778,2.777777778,0,0,0,2.777777778,9
Company207,Success,2010,4,,Energy,operations,Khosla Ventures,15,0,yes,1/1/10,7/24/13,5000000,United States,North America,0,0,2,4,3,15,No,1,low,Yes,Large,No,No,No,No,Service,No,Private,Yes,Structured,Yes,Platform,global,Non-Linear,No,Few,No,No,No,Yes,No,Yes,Yes,No,No,No,Online,B2C,Low,High,Yes,Medium,Bachelors,18,COMPUTERS,Yes,Yes,None,500,High,0,1,1,Medium,116,Many,14,Medium,Medium,No,No,Low,Very Good,No,Yes,No,Yes,No,Yes,No,3,Low,3,5,5,Not Applicable,18,10,2 to 5,3.125,0,15.625,3.125,3.125,0,6.25,3.125,3.125,12.5,0,0,0,0,8
Company208,Success,2007,7,patented social media analysis,Analytics,Social media analytics,Charles F. Dolan|Golden Seeds|Springboard Enterprises,83,-3,yes,8/1/07,9/28/12,5089656,United States,North America,0,0,1,1,7,85,No,0,high,Yes,Small,Yes,Yes,No,No,Product,Yes,Private,Yes,Unstructured,Yes,Platform,global,Non-Linear,No,None,No,No,No,Yes,No,Yes,No,No,No,No,Online,B2B,Medium,High,Yes,Medium,PhD,25,COMPUTERS,Yes,Yes,Both,500,High,1,1,1,Medium,200,Many,20,Low,Low,Yes,No,Low,Average,No,No,No,No,No,Yes,No,2,High,2,14.16,5.089656,Yes,18,12,5 to 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Company209,Success,2011,3,,CleanTech|Analytics|Real Estate|Energy,Operations,Battery Ventures|Nth Power|RockPort Capital Partners|Vast Ventures|E.ON,41,-2,Yes,9/1/11,12/10/13,8500000,United States,North America,0,2,2,2,4,48,Yes,4,medium,Yes,Medium,No,No,No,No,Service,Yes,Private,Yes,Unstructured,Yes,Platform,Local,Linear,No,None,No,No,Yes,No,No,Yes,Yes,No,No,No,Offline,B2C,Low,High,Yes,Low,Masters,21,MGMT,Yes,Yes,None,500,High,1,1,1,None,1,None,42,Medium,Low,No,No,Low,Bad,Yes,No,No,No,No,No,Yes,2,Low,2,24,8.5,Not Applicable,12,10,,8.496732026,5.882352941,17.32026144,5.555555556,2.777777778,2.941176471,19.44444444,2.777777778,2.777777778,29.24836601,0,0,0,2.777777778,3
Company210,Success,2007,7,IT Operations Analytics,Security|Cloud Computing,Operations,Miramar Venture Partners|US Venture Partners|ATA Ventures,53,0,Yes,1/1/07,5/1/12,18000000,United States,North America,0,2,1,0,5,80,No,0,medium,Yes,Medium,Yes,Yes,No,No,Product,Yes,Private,Yes,Structured,Yes,Platform,global,Non-Linear,No,Few,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Low,PhD,25,electrical,Yes,Yes,Both,500,High,1,1,1,Medium,187,Many,17,Low,Low,No,No,Medium,Very Good,Yes,No,No,No,No,No,No,2,Medium,3,13.3,18,Yes,60,40,2 to 5,0,2.777777778,25,2.777777778,2.777777778,0,8.333333333,2.777777778,0,5.555555556,0,0,0,0,2
Company211,Success,2011,3,Big data/analytics for energy use,CleanTech|Energy,operations,Foundation Capital|Voyager Capital|Stanford University|E.ON,31,3,yes,1/1/11,1/27/14,12750000,United States,North America,0,3,1,0,6,50,Yes,2,medium,Yes,Small,Yes,Yes,No,No,Product,No,Private,Yes,Structured,Yes,Platform,local,Non-Linear,No,None,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Medium,High,Yes,Low,PhD,25,electrical,Yes,Yes,Both,500,High,1,1,1,Medium,400,Many,37,Medium,Low,No,No,Low,Bad,Yes,Yes,Yes,No,No,Yes,No,3,High,3,25,12.75,Not Applicable,18,13,,11.11111111,0,11.11111111,5.555555556,5.555555556,5.555555556,16.66666667,5.555555556,5.555555556,27.77777778,0,0,0,5.555555556,9
Company212,Success,2000,14,In-store Customer Analytics,,strategy,Mohr Davidow Ventures|RBC Venture Partners|Columbia Capital|Relay Ventures|Eastward Capital Partners,58,0,yes,1/1/00,10/5/12,4000000,United States,North America,0,5,0,0,8,40,No,0,medium,Yes,Large,No,No,No,Yes,Service,Yes,Private,Yes,Unstructured,Yes,Platform,global,Non-Linear,Yes,None,No,No,No,No,No,Yes,No,No,No,No,Offline,B2B,Low,High,Yes,Low,Bachelors,18,TECH,Yes,Yes,None,146,Medium,1,0,1,Medium,264,Many,41,Low,Medium,Yes,No,Medium,Average,Yes,Yes,Yes,No,No,Yes,Yes,2,High,6,3.07,4,Yes,84,24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Company213,Success,2009,5,,E-Commerce,technology,ZIG Capital|JCB Investments|Moore Venture Partners|La Jolla Holding|TomorrowVentures|venture capitals,23,0,No,6/1/09,6/26/13,4000000,United States,North America,0,1,1,0,4,10,No,0,high,No,Small,Yes,Yes,No,No,Service,Yes,Private,Yes,Structured,Yes,Platform,global,Non-Linear,No,None,No,No,No,No,No,No,No,No,No,No,Offline,B2B,Medium,High,Yes,Low,Masters,21,MGMT,Yes,No,None,500,High,1,0,0,None,408,None,22,Low,High,No,No,Low,Bad,Yes,Yes,No,No,No,Yes,No,3,Medium,1,2.5,4,Not Applicable,24,1,,14.28571429,0,4.761904762,33.33333333,9.523809524,4.761904762,19.04761905,0,0,4.761904762,0,0,4.761904762,4.761904762,2
Company214,Success,2008,6,Real-Time Performance Monitoring,Analytics,Marketing & Sales,Mehdi Daoudi|Battery Ventures,43,0,yes,9/15/08,12/10/13,6000001,United States,North America,0,1,4,2,7,50,Yes,2,high,Yes,Medium,Yes,Yes,No,No,Service,Yes,Private,Yes,Structured,Yes,Platform,global,Non-Linear,No,Few,No,No,No,No,No,Yes,No,Yes,No,No,Offline,B2B,Low,Medium,Yes,Low,Masters,21,INTERNATIONAL TRADE,Yes,Yes,Both,500,High,1,1,1,Medium,400,Many,23,Medium,Low,No,No,Low,Average,No,No,Yes,No,No,Yes,No,3,High,2,10,6.000001,Yes,17,9,5 to 10,5.263157895,10.52631579,42.10526316,15.78947368,0,10.52631579,10.52631579,0,0,5.263157895,0,0,0,0,5
Company216,Success,2012,2,,E-Commerce|Enterprise Software|Analytics,Marketing & Sales,BOLDstart Ventures,9,0,yes,9/15/12,7/10/13,795000,United States,North America,0,1,2,1,2,9,No,0,low,Yes,Small,Yes,Yes,No,No,Service,No,Private,Yes,Structured,Yes,Platform,global,Non-Linear,No,None,No,No,No,Yes,No,No,No,No,No,No,Online,B2B,Low,Medium,Yes,Low,Bachelors,18,FINANCE,No,No,Both,500,Medium,1,0,0,None,0,Many,10,Medium,Medium,No,Yes,Low,Bad,No,No,Yes,No,No,No,No,2,Low,3,9,0.795,Not Applicable,15,1,2 to 5,16.66666667,0,11.11111111,0,11.11111111,0,27.77777778,0,22.22222222,11.11111111,0,0,0,0,0
Company217,Success,2012,2,,,operations,,,,No,,,0,,,0,2,2,1,2,4,No,0,low,No,Large,No,No,No,No,Service,No,Private,No,Structured,Yes,Platform,global,Non-Linear,No,None,No,No,No,No,No,No,No,No,No,No,Online,B2B,Low,High,Yes,Low,Masters,21,MGMT,No,No,Both,500,Low,1,0,0,None,190,None,14,Low,Medium,Yes,Yes,Medium,Very Good,No,No,No,No,No,No,No,4,High,2,4,0.05,Not Applicable,12,12,2 to 5,5.555555556,10,0,8.333333333,10.55555556,7.777777778,13.33333333,0,18.88888889,20,0,0,2.777777778,2.777777778,7
Company218,Success,2009,5,,,Operations,,,,Yes,,,0,,,0,1,1,10,7,77,No,0,high,Yes,Medium,Yes,Yes,No,No,Product,Yes,Private,Yes,Structured,Yes,Cloud,Global,Linear,No,None,No,No,No,Yes,No,Yes,Yes,No,No,No,Online,B2B,Low,High,Yes,Low,Bachelors,18,ENGLISH,No,No,Both,500,Low,0,0,1,Medium,172,Many,14,Medium,Medium,No,Yes,Medium,Average,Yes,Yes,No,No,No,Yes,No,2,Medium,3,19.25,9.5,Not Applicable,23,12,,3.125,0,21.875,6.25,0,6.25,6.25,3.125,3.125,0,0,0,0,0,5
Company219,Success,2000,14,Customer Intelligence Solutions,Analytics,Marketing & Sales,Oak Investment Partners|Diamondhead Ventures|Ampersand Capital Partners,172,1,yes,1/1/00,12/22/13,11778004,United States,North America,0,4,0,0,5,173,Yes,3,low,No,Medium,Yes,Yes,No,No,Product,Yes,Private,Yes,Structured,Yes,Cloud,Global,Linear,No,None,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Online,B2B,Medium,High,Yes,Low,Bachelors,18,MATHS,Yes,Yes,None,500,Medium,0,0,0,None,368,None,10,Low,High,No,No,Low,Bad,Yes,No,Yes,No,No,Yes,No,3,High,2,13.3,11.778004,Yes,72,27,5 to 10,12.5,12.5,25,12.5,25,12.5,0,0,0,0,0,0,0,0,0
Company220,Success,2008,6,Intelligent Customer Engagement,E-Commerce|Analytics|Mobile|Retail,operations,Sequoia Capital|Norwest Venture Partners|Qualcomm Ventures|American Express Ventures,410,1,yes,8/1/08,2/11/14,4500000,Singapore,Asia,1,0,3,0,9,415,Yes,0,high,Yes,Large,No,No,No,No,Service,No,Private,Yes,Structured,Yes,Platform,global,Non-Linear,No,Few,No,No,No,Yes,No,No,Yes,No,No,Yes,Online,B2B,Low,Medium,Yes,Medium,Bachelors,18,engg,Yes,Yes,Tier_1,500,Medium,0,1,1,High,325,None,25,Low,Medium,No,No,High,Average,Yes,No,Yes,No,No,Yes,No,2,Low,3,83,4.5,Yes,48,24,0 to 2,2.777777778,13.88888889,0,17.06349206,15.47619048,26.98412698,18.25396825,2.777777778,2.777777778,0,0,0,0,0,0
